interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_2,eligible_cluster_2,testable_other_clusters,max_other_activity,specificity
CD44_TYROBP,Monocyte classical,Plasma cell,2,2.0,1.512405303030303,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7562026515151515,I-II,1,0.0,7,0.156235238545111,4.0,2,0.156235238545111,0.5999674129700405
PTPRC_MRC1,Plasma cell,myeloid dividing,2,2.0,1.1984813411896744,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.5992406705948372,I-II,1,0.0,7,0.0,2.0,2,0.0,0.5992406705948372
CD99_PILRA,T cell CD8 effector memory,Monocyte classical,2,2.0,1.4948162177328843,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7474081088664422,I-II,1,0.15055675533010565,8,0.0,4.0,2,0.15055675533010565,0.5968513535363364
CD52_SIGLEC10,T cell CD4 dividing,B cell,2,2.0,1.546043771043771,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7730218855218856,I-II,1,0.17957799229177268,8,0.0,3.0,2,0.17957799229177268,0.5934438932301129
PVR_CD96,Macrophage alveolar,T cell CD4,2,2.0,1.300273569023569,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6501367845117845,I-II,1,0.058227385352776315,7,0.0,4.0,2,0.058227385352776315,0.5919093991590082
ANXA1_FPR3,T cell CD4,Macrophage alveolar,2,2.0,1.5257821268237934,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7628910634118967,I-II,1,0.17671620696165344,7,0.0,4.0,2,0.17671620696165344,0.5861748564502433
CD99_PILRA,T cell CD8 effector memory,myeloid dividing,2,2.0,1.310297418630752,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.655148709315376,I-II,1,0.0691904920212766,8,0.0,2.0,2,0.0691904920212766,0.5859582172940995
HLA-E_CD94:NKG2A,Macrophage,T cell CD8 effector memory,2,2.0,1.4772446689113354,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7386223344556677,I-II,1,0.15291489790637294,8,0.0,4.0,2,0.15291489790637294,0.5857074365492948
CD44_TYROBP,Mast cell,Fibroblast peribronchial,2,2.0,1.606909371492705,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8034546857463525,I-II,1,0.21922937246664062,6,0.0,4.0,2,0.21922937246664062,0.5842253132797118
CD44_TYROBP,Macrophage,Plasma cell,2,2.0,1.4469556677890012,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7234778338945006,I-II,1,0.0,7,0.14188710439300897,4.0,2,0.14188710439300897,0.5815907295014916
ANXA1_FPR2,Macrophage alveolar,Monocyte classical,2,2.0,1.7141414141414142,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8570707070707071,I-II,1,0.2770261060888684,7,0.10145739910313901,4.0,2,0.2770261060888684,0.5800446009818387
PTPRC_MRC1,Plasma cell,cDC2,2,2.0,1.1564920033670034,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.5782460016835017,I-II,1,0.0,7,0.0,4.0,2,0.0,0.5782460016835017
CD99_PILRA,NK cell,Monocyte classical,2,2.0,1.4552574354657688,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7276287177328844,I-II,1,0.1499431551152616,8,0.0,4.0,2,0.1499431551152616,0.5776855626176228
PECAM1_CD38,Macrophage alveolar,Plasma cell,2,2.0,1.293013468013468,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.646506734006734,I-II,1,0.0,7,0.06979196568742711,4.0,2,0.06979196568742711,0.5767147683193069
CD86_CTLA4,cDC2,T cell CD4,2,2.0,1.549249438832772,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.774624719416386,I-II,1,0.1998208613247154,8,0.11198791882530298,4.0,2,0.1998208613247154,0.5748038580916706
PVR_CD96,myeloid dividing,T cell CD4,2,2.0,1.2462436868686868,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6231218434343434,I-II,1,0.04963392095535968,8,0.0,2.0,2,0.04963392095535968,0.5734879224789837
PTPRC_MRC1,Mast cell,cDC2,2,2.0,1.5369037598204265,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7684518799102132,I-II,1,0.19556635681691134,8,0.0,4.0,2,0.19556635681691134,0.5728855230933019
PTPRC_MRC1,myeloid dividing,T cell regulatory,2,2.0,1.27317620650954,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.63658810325477,I-II,1,0.06436593687802104,8,0.0,2.0,2,0.06436593687802104,0.5722221663767489
ANXA1_FPR2,Macrophage alveolar,Macrophage alveolar,2,2.0,1.6740425084175086,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8370212542087543,I-II,1,0.26547514526049343,7,0.07847533632286996,4.0,2,0.26547514526049343,0.5715461089482609
PTPRC_MRC1,T cell CD4,Monocyte classical,2,2.0,1.8871913580246913,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9435956790123456,I-II,1,0.24976049409192935,8,0.37457247836979723,4.0,2,0.37457247836979723,0.5690232006425484
PVR_TIGIT,Macrophage,T cell regulatory,2,2.0,1.2625771604938272,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6312885802469136,I-II,1,0.06571651976116008,8,0.0,4.0,2,0.06571651976116008,0.5655720604857535
CD52_SIGLEC10,cDC2,Monocyte classical,2,2.0,1.3027918069584736,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6513959034792368,I-II,1,0.07102999715666762,8,0.08744394618834081,4.0,2,0.08744394618834081,0.563951957290896
ANXA1_FPR2,Mast cell,Macrophage alveolar,2,2.0,1.7846064814814815,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8923032407407407,I-II,1,0.32903928264376653,7,0.0,4.0,2,0.32903928264376653,0.5632639580969743
VEGFA_FLT1,Monocyte classical,Macrophage alveolar,2,2.0,1.1250946969696969,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.5625473484848484,I-II,1,0.0,7,0.0,4.0,2,0.0,0.5625473484848484
CD99_PILRA,NK cell,myeloid dividing,2,2.0,1.2594030583613915,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6297015291806958,I-II,1,0.0691904920212766,8,0.0,2.0,2,0.0691904920212766,0.5605110371594192
PLAU_PLAUR,Mast cell,myeloid dividing,2,2.0,1.2103956228956227,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6051978114478114,I-II,1,0.04535115154961615,8,0.0,2.0,2,0.04535115154961615,0.5598466598981953
PLAU_PLAUR,Mast cell,cDC2,2,2.0,1.1976571268237934,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.5988285634118967,I-II,1,0.03955786181404606,8,0.0,4.0,2,0.03955786181404606,0.5592707015978506
PVR_CD96,Macrophage,T cell CD4,2,2.0,1.2130050505050505,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6065025252525252,I-II,1,0.04767912994029002,8,0.0,4.0,2,0.04767912994029002,0.5588233953122352
PTPRC_MRC1,NK cell,Monocyte classical,2,2.0,1.904783950617284,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.952391975308642,I-II,1,0.36976419304564656,8,0.3963585172473586,4.0,2,0.3963585172473586,0.5560334580612833
PTPRC_MRC1,T cell CD8 effector memory,Monocyte classical,2,2.0,1.9053065375982041,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9526532687991021,I-II,1,0.3892368216787852,8,0.4008220822396154,4.0,2,0.4008220822396154,0.5518311865594867
PTPRC_CD22,T cell CD4 dividing,myeloid dividing,2,2.0,1.71415544332211,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.857077721661055,I-II,1,0.30664929713207234,8,0.0,2.0,2,0.30664929713207234,0.5504284245289827
CD44_TYROBP,Fibroblast peribronchial,Mast cell,2,2.0,1.6472923681257015,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8236461840628507,I-II,1,0.2735776084110262,6,0.0,4.0,2,0.2735776084110262,0.5500685756518245
PTPRC_CD22,cDC2,Macrophage,2,2.0,1.4287037037037038,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7143518518518519,I-II,1,0.16558076916626396,8,0.0,4.0,2,0.16558076916626396,0.5487710826855879
PTPRC_MRC1,T cell CD8 effector memory,cDC2,2,2.0,1.951192480359147,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9755962401795735,I-II,1,0.4289856001817949,8,0.0,4.0,2,0.4289856001817949,0.5466106399977786
PVR_CD96,Macrophage alveolar,NK cell,2,2.0,1.1752981200897867,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.5876490600448934,I-II,1,0.04161420041431414,7,0.0,4.0,2,0.04161420041431414,0.5460348596305792
ANXA1_FPR2,myeloid dividing,myeloid dividing,2,2.0,1.4843364197530864,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7421682098765432,I-II,1,0.19740993720920041,8,0.0,2.0,2,0.19740993720920041,0.5447582726673428
