interacting_pair,best_sender_cell_type,best_receiver_cell_type,supporting_datasets,eligible_datasets,prevalence,activity,ligand_deg,receptor_deg,datasets,time,cluster,activity_cluster_0,eligible_cluster_0,testable_other_clusters,max_other_activity,specificity
CXCL2_CXCR2,Monocyte classical,Neutrophils,4.0,4,1.0,0.8279131098684249,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,1,0.24504185527516512,5,1,0.24504185527516512,0.5828712545932598
CXCL8_CXCR1,Neutrophils,Neutrophils,3.0,4,0.75,0.7153784880061353,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,1,0.14154175588865098,5,1,0.14154175588865098,0.5738367321174844
COL6A1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.8414580599564871,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.26897832594035126,3,1,0.26897832594035126,0.5724797340161358
KITLG_KIT,Pericyte,Mast cell,2.0,2,1.0,0.8704546527385144,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.30383353168163296,3,1,0.30383353168163296,0.5666211210568814
CXCL3_CXCR2,Macrophage,Neutrophils,4.0,4,1.0,0.7509363699780448,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,1,0.1853482993438405,5,1,0.1853482993438405,0.5655880706342042
FN1_integrin_a8b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.8632692283244426,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3008943705146237,3,1,0.3008943705146237,0.5623748578098189
COL5A2_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.8519959270774442,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2902556889898662,3,1,0.2902556889898662,0.561740238087578
CCL22_DPP4,DC mature,cDC1,3.0,3,1.0,0.551144527898746,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,1,1,0.0,0.551144527898746
CXCL1_CXCR2,Neutrophils,Neutrophils,3.0,4,0.75,0.548313915111603,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,1,0.0,2,1,0.0,0.548313915111603
IL1RN_IL1_receptor_inhibitor,myeloid dividing,Neutrophils,2.0,2,1.0,0.6212291548507394,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.07567889213458834,5,1,0.07567889213458834,0.545550262716151
integrin_aVb1_complex_ADGRE2,Pericyte,Mast cell,2.0,2,1.0,0.7078425200881424,False,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.16388979047206895,3,1,0.16388979047206895,0.5439527296160734
COL15A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.8525687882143735,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.320098092249991,3,1,0.320098092249991,0.5324706959643826
COL8A2_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.7958661406535344,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.26854556601392043,3,1,0.26854556601392043,0.527320574639614
PDGFA_PDGFRA,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.747090791189353,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.22454830682678784,3,1,0.22454830682678784,0.5225424843625651
COL16A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.7907490227236311,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.27303545025064013,3,1,0.27303545025064013,0.517713572472991
COL6A3_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.8116478618184091,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.29465541490857944,3,1,0.29465541490857944,0.5169924469098297
COL6A1_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.7487594573337095,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.23466407010710807,3,1,0.23466407010710807,0.5140953872266014
COL27A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.7870027848903636,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2767499729525046,3,1,0.2767499729525046,0.510252811937859
COL5A3_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.6784866569668527,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.18233618233618235,3,1,0.18233618233618235,0.4961504746306704
CD274_CD80,DC mature,DC mature,2.0,3,0.6666666666666666,0.49099604431414207,True,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,1,1,0.0,0.49099604431414207
LAMC1_integrin_a7b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.6728410269773548,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.18219192902737205,3,1,0.18219192902737205,0.4906490979499828
WNT2B_FRZB,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.4865279415103516,False,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,1,1,0.0,0.4865279415103516
COL5A2_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.7694617023328612,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.28468390493706947,3,1,0.28468390493706947,0.4847777973957917
COL9A2_integrin_a1b1_complex,Mast cell,Pericyte,2.0,2,1.0,0.7500229779092336,False,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2686898193227307,3,1,0.2686898193227307,0.48133315858650283
CD96_NECTIN1,T cell CD8 terminally exhausted,Pericyte,2.0,2,1.0,0.6955300904938768,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.21526200007212667,3,1,0.21526200007212667,0.4802680904217501
WNT10A_FRZB,pDC,Pericyte,2.0,2,1.0,0.47976702414759664,False,True,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.0,3,1,0.0,0.47976702414759664
COL21A1_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.7382952887589832,False,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2604854123841466,3,1,0.2604854123841466,0.47780987637483663
COL4A5_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.7220846659295066,False,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2587724043420246,3,1,0.2587724043420246,0.463312261587482
