interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
CD52_SIGLEC10,cDC1,cDC1,2,2.0,1.1497749823819101,True,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5748874911909551,I-II,2,0.3485363312186504,7,0.0,1,2,0.3485363312186504,0.22635115997230465
CD52_SIGLEC10,T cell CD8 dividing,Macrophage,3,3.0,1.934709294099707,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6449030980332356,I-II,2,0.4193283331845258,7,0.0,2,2,0.4193283331845258,0.22557476484870986
CADM1_CADM1,Plasma cell,cDC1,2,2.0,0.44779479951552864,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.22389739975776432,I-II,2,0.0,6,0.0,1,2,0.0,0.22389739975776432
CADM1_CADM1,cDC1,Plasma cell,2,2.0,0.44779479951552864,True,False,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.22389739975776432,I-II,2,0.0,6,0.0,1,2,0.0,0.22389739975776432
HLA-E_KLRK1,T cell CD4,T cell CD8 dividing,3,2.0,1.6533051110509387,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5511017036836462,I-II,2,0.3272832359967886,7,0.0,2,2,0.3272832359967886,0.2238184676868576
HLA-E_CD94:NKG2A,T cell CD8 dividing,T cell CD8 dividing,3,2.0,1.3340854835190672,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4446951611730224,I-II,2,0.22200956216910067,7,0.0,2,2,0.22200956216910067,0.2226855990039217
HLA-E_CD94:NKG2A,Macrophage,T cell NK-like,3,2.0,0.947033516843151,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.315677838947717,I-II,2,0.09964726631393298,7,0.0,2,2,0.09964726631393298,0.21603057263378403
CD52_SIGLEC10,T cell CD8 dividing,Monocyte classical,3,3.0,1.9230851576071386,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6410283858690462,I-II,2,0.4252393627612391,7,0.0,2,2,0.4252393627612391,0.21578902310780712
TNFSF13B_TNFRSF17,cDC1,Plasma cell,2,2.0,0.43151937155073283,True,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.21575968577536642,I-II,2,0.0,6,0.0,1,2,0.0,0.21575968577536642
HLA-E_KLRK1,Plasma cell,T cell CD8 terminally exhausted,4,2.0,0.8582259587760952,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.5,0.2145564896940238,I-II,2,0.0,7,0.0,2,2,0.0,0.2145564896940238
