Regulator	Target	MI	pvalue
T cell CD8 naive	T cell CD4	0.45071595322740904	0.0
T cell regulatory	T cell CD4	0.8824709569718622	0.0
Macrophage	T cell CD8 dividing	0.32068425292364705	4.5254697855767745E-7
myeloid dividing	cDC2	0.3194354189520751	1.3789900421556922E-7
T cell CD8 naive	T cell NK-like	0.5289236769013597	0.0
T cell NK-like	T cell CD8 terminally exhausted	0.43073391076307493	0.0
Monocyte classical	T cell CD8 effector memory	0.40790155345950657	0.0
cDC2	cDC1	0.34907803259027553	0.04328156460949639
Macrophage	Plasma cell	0.352732858400714	0.0
Endothelial cell venous	Macrophage	0.2944058892041217	1.3789900421556922E-7
T cell CD8 dividing	pDC	0.3559151618586438	3.4254679093237428E-9
cDC2	T cell CD8 effector memory	0.37000453390080146	9.602719140788807E-4
Pericyte	stromal dividing	0.2702337928325014	1.1992327131338243E-8
B cell	cDC1	0.4060706073190008	0.006815680452503692
T cell CD8 terminally exhausted	Macrophage	0.3517317193323422	0.0
T cell CD8 effector memory	B cell	0.6640083871004371	1.4521372131426347E-6
T cell CD4 dividing	T cell CD4	0.3810830152257978	0.04328156460949639
Macrophage	T cell CD8 terminally exhausted	0.3605438145342987	0.0
Endothelial cell venous	Fibroblast peribronchial	0.3730926923506203	0.0
Plasma cell	NK cell dividing	0.3089114964506542	0.04328156460949639
transitional club/AT2	T cell CD4	0.31917636057411314	1.8782309041398548E-11
cDC2	Monocyte non-classical	0.27310155888587223	0.017422237059726342
transitional club/AT2	Macrophage alveolar	0.31638861014283065	0.0
Fibroblast adventitial	Smooth muscle cell	0.2731071795725395	4.5254697855767745E-7
T cell CD4	NK cell	0.7409538139492164	0.0
T cell CD4 dividing	Plasma cell	0.38731009776378217	0.0
Plasma cell	T cell CD8 effector memory	0.4086450053959651	0.0
T cell CD4 dividing	DC mature	0.34501509968264404	0.0
cDC2	Ciliated	0.2891167035317941	2.629523265795797E-10
Macrophage alveolar	Macrophage	0.38863205243651594	0.0
Tumor LUAD_mixed	Macrophage alveolar	0.2872977107670888	0.0
Plasma cell	Macrophage	0.35407007621257663	0.0
T cell CD8 terminally exhausted	B cell dividing	0.285783702493045	0.04328156460949639
T cell CD8 naive	T cell CD8 terminally exhausted	0.4143709973496502	1.4521372131426347E-6
cDC1	T cell CD4	0.4038290817676647	0.0
B cell dividing	T cell CD8 terminally exhausted	0.2769735678949897	1.2171542395833512E-4
T cell CD8 terminally exhausted	Monocyte classical	0.3693586136574833	4.5254697855767745E-7
T cell regulatory	T cell CD4 dividing	0.43409033922983636	0.0
Neutrophils	T cell CD8 activated	0.2963520227731344	0.0025932099545551424
B cell	T cell CD8 activated	0.5629860194156091	0.0
Monocyte classical	Macrophage	0.4604264918960725	0.0
Smooth muscle cell	Fibroblast adventitial	0.2774251568689451	4.1106323678263834E-8
NK cell dividing	NK cell	0.3134221708612558	0.0
Fibroblast peribronchial	myeloid dividing	0.2810036316912271	0.006815680452503692
Endothelial cell venous	Pericyte	0.34197919757684053	0.0
Macrophage	Fibroblast peribronchial	0.30133940594327113	0.0
T cell CD4 dividing	cDC1	0.37077609104042913	0.0
T cell CD4 dividing	cDC2	0.38340281378841634	0.0
B cell dividing	T cell regulatory	0.3020315878266405	0.0
T cell regulatory	T cell CD8 dividing	0.46292403683272776	0.0
T cell CD8 terminally exhausted	T cell CD8 effector memory	0.575279873373071	0.0
T cell CD8 dividing	Plasma cell	0.36159142923218585	0.0
Macrophage	T cell CD4 dividing	0.36958863802349073	0.0
T cell NK-like	T cell CD8 naive	0.5266599934787631	0.0
pDC	T cell CD8 effector memory	0.42683580676289373	0.0
T cell CD4	T cell CD8 effector memory	0.9165312254152153	0.0
myeloid dividing	Endothelial cell venous	0.27572789277665943	0.0025932099545551424
pDC	T cell CD4 dividing	0.3875944948143345	0.0
Monocyte classical	DC mature	0.3334104620622852	0.0
T cell CD4	Alveolar cell type 1	0.2971083590713793	1.4521372131426347E-6
T cell CD8 naive	T cell regulatory	0.4694665838350917	4.553840286192212E-6
T cell CD8 dividing	NK cell dividing	0.29120187065454395	0.0
B cell dividing	Plasma cell	0.2959517791601521	0.0
cDC2	Mast cell	0.4198802224722401	0.0
Mast cell	DC mature	0.36084547916844456	2.629523265795797E-10
B cell dividing	Plasma cell dividing	0.2711163473248456	3.463143810815694E-4
Monocyte classical	Neutrophils	0.30272677280846566	0.0
Fibroblast peribronchial	Pericyte	0.4053587245355961	0.0
T cell regulatory	B cell dividing	0.2929910900387444	0.0
cDC1	Alveolar cell type 2	0.27924828653357636	1.2171542395833512E-4
NK cell dividing	Plasma cell	0.3033604763952333	0.0025932099545551424
Monocyte classical	Macrophage alveolar	0.37899243101877866	0.0
Macrophage	Endothelial cell venous	0.2974563181938973	1.3949189286321939E-5
T cell CD4 dividing	Monocyte classical	0.3548826357832648	4.553840286192212E-6
T cell CD4	T cell CD4 dividing	0.391779747104529	0.04328156460949639
cDC2	Alveolar cell type 2	0.2987611890046511	4.9613646524448995E-12
cDC2	T cell CD4 dividing	0.38599828352107785	0.0
pDC	T cell CD8 activated	0.35513199561636055	0.0
T cell CD4 dividing	Macrophage	0.37287912172846815	0.0
Macrophage alveolar	Monocyte classical	0.3843954833838811	0.0
T cell NK-like	T cell regulatory	0.49509769817714566	0.0025932099545551424
Plasma cell	Endothelial cell venous	0.2917204079679594	9.602719140788807E-4
T cell regulatory	T cell CD8 terminally exhausted	0.5820592709932576	0.0
Mast cell	pDC	0.39532874252102035	0.0
Plasma cell	Plasma cell dividing	0.30149828289094727	0.0
Plasma cell	Mast cell	0.3929650393623779	0.0
T cell CD4	NK cell dividing	0.2981023806859065	2.629523265795797E-10
Smooth muscle cell	Fibroblast alveolar	0.28844614797552065	0.0
