"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000144848",2.15156941078379e-16,-1.77236775808617,0.045,0.127,1.16808703311452e-12
"ENSG00000107798",2.18114169229752e-16,-2.75987960419704,0.024,0.097,1.18414182474833e-12
"ENSG00000087494",2.18309372784225e-16,1.26063349773993,0.056,0.018,1.18520158484555e-12
"ENSG00000075711",2.48123329493929e-16,0.53899955732971,0.191,0.106,1.34706155582254e-12
"ENSG00000128891",2.66662503616811e-16,-2.06808032607897,0.031,0.107,1.44771073213567e-12
"ENSG00000226419",2.67409688876738e-16,-4.3340396088211,0.004,0.064,1.45176720091181e-12
"ENSG00000059728",2.94522793540172e-16,-1.51650331041527,0.165,0.26,1.5989642461296e-12
"ENSG00000171657",3.12698725194025e-16,-3.43324320847462,0.009,0.071,1.69764137907836e-12
"ENSG00000134250",3.36933696297351e-16,0.877091851390324,0.127,0.061,1.82921303719832e-12
"ENSG00000149100",3.45284774551543e-16,-1.10718616030345,0.133,0.233,1.87455104104033e-12
"ENSG00000172262",3.62645970084827e-16,-1.40943090736584,0.096,0.189,1.96880497159053e-12
"ENSG00000110079",3.74098077222078e-16,-4.57869548534004,0.003,0.062,2.03097846123866e-12
"ENSG00000120738",3.87331440295177e-16,0.395478527292051,0.428,0.304,2.10282238936252e-12
"ENSG00000183914",3.89568961116133e-16,2.32540009155591,0.026,0.005,2.11496988989949e-12
"ENSG00000163349",4.12135813193666e-16,-1.44736073599118,0.081,0.172,2.23748532982841e-12
"ENSG00000164761",4.18823424579002e-16,1.54916545653572,0.039,0.01,2.2737923720394e-12
"ENSG00000244405",4.97275475591547e-16,1.47843774584909,0.059,0.02,2.69970855698651e-12
"ENSG00000184709",5.03125928222675e-16,2.73270194205515,0.019,0.003,2.7314706643209e-12
"ENSG00000137804",5.14830561308361e-16,-3.81286712036592,0.006,0.066,2.79501511734309e-12
"ENSG00000132356",6.8350729000934e-16,0.637544709014808,0.175,0.095,3.71076107746071e-12
"ENSG00000183036",6.86932629086659e-16,2.90036743631534,0.023,0.004,3.72935724331147e-12
"ENSG00000172889",7.74931633602721e-16,0.531506790039217,0.052,0.017,4.20710383882917e-12
"ENSG00000001626",8.49359382196232e-16,2.15465885527378,0.036,0.009,4.61117208594334e-12
"ENSG00000170458",8.7837355375107e-16,-3.5847407549104,0.029,0.1,4.76869002331456e-12
"ENSG00000132274",8.97370996658855e-16,-1.24149780516166,0.114,0.21,4.87182714086092e-12
"ENSG00000038945",1.0027474425287e-15,-4.54483203347376,0.003,0.059,5.44391586548831e-12
"ENSG00000198830",1.03687145506172e-15,-0.867024818764743,0.292,0.39,5.62917512953007e-12
"ENSG00000081041",1.06617259764151e-15,-0.126090565431497,0.166,0.088,5.78825103259574e-12
"ENSG00000102805",1.21762655001351e-15,0.732139158727986,0.163,0.088,6.61049454002335e-12
"ENSG00000111229",1.21894588814705e-15,-0.617677334659324,0.67,0.655,6.61765722675033e-12
"ENSG00000109099",1.26994628657423e-15,-2.4693704949017,0.018,0.085,6.8945383898115e-12
"ENSG00000147224",1.29094530497303e-15,-2.5585293556093,0.016,0.081,7.00854206069855e-12
"ENSG00000184371",1.2997851412253e-15,-2.84261038863229,0.018,0.085,7.05653353171217e-12
"ENSG00000196544",1.30706530041855e-15,-2.75947495520527,0.014,0.078,7.09605751597229e-12
"ENSG00000163492",1.32942831054111e-15,-5.49960995847883,0.001,0.055,7.21746629792767e-12
"ENSG00000134460",1.35339363069649e-15,-4.60358144580928,0.003,0.058,7.34757402105126e-12
"ENSG00000137100",1.37887670234332e-15,-1.48271444354591,0.06,0.144,7.48592161702188e-12
"ENSG00000155659",1.52305076272617e-15,-6.82884637821177,0,0.053,8.26864259084037e-12
"ENSG00000239887",1.55712238618037e-15,3.57915668380169,0.012,0.001,8.45361743457321e-12
"ENSG00000135469",1.62457367952296e-15,-2.81448128372912,0.014,0.077,8.81981050613014e-12
"ENSG00000111897",1.69504721858314e-15,0.296627728563552,0.346,0.224,9.20241134968785e-12
"ENSG00000197629",1.8091768940464e-15,-5.41334595736922,0.001,0.054,9.82202135777791e-12
"ENSG00000167772",1.81444830014542e-15,1.14990532530315,0.06,0.021,9.85063982148949e-12
"ENSG00000102401",2.02925168114684e-15,-1.40819236526011,0.109,0.2,1.10168073769462e-11
"ENSG00000173272",2.1429732969324e-15,0.312742244071579,0.324,0.207,1.1634202029046e-11
"ENSG00000182983",2.21115639515502e-15,2.69736886894287,0.017,0.002,1.20043680692966e-11
"ENSG00000179943",2.24029002104263e-15,1.71214061957283,0.044,0.013,1.21625345242404e-11
"ENSG00000103152",2.3582755209388e-15,0.565407196657508,0.202,0.117,1.28030778031767e-11
"ENSG00000269404",2.39777117881361e-15,-2.70766761012975,0.004,0.061,1.30174997297791e-11
"ENSG00000065135",2.66791022078551e-15,-1.19498963490606,0.12,0.214,1.44840845886445e-11
"ENSG00000197261",2.95054193904846e-15,2.4015869263214,0.026,0.005,1.60184921870941e-11
"ENSG00000104951",3.21716141394688e-15,-5.23133256065698,0.002,0.055,1.74659693163176e-11
"ENSG00000125245",3.56559321309644e-15,-6.42441528308654,0,0.052,1.93576055539006e-11
"ENSG00000134539",3.78361238790234e-15,-4.87305815226149,0.004,0.06,2.05412316539218e-11
"ENSG00000205726",4.06180129490501e-15,1.52916854797002,0.045,0.013,2.20515192300393e-11
"ENSG00000170989",4.97552381665771e-15,-4.85226055866601,0.002,0.054,2.70121188006347e-11
"ENSG00000198542",5.65893469089924e-15,1.4231391123336,0.038,0.011,3.0722356436892e-11
"ENSG00000135046",5.66335740228103e-15,-0.319500373056083,0.767,0.607,3.07463673369837e-11
"ENSG00000106278",5.7291704875849e-15,3.85955822160558,0.014,0.001,3.11036665770984e-11
"ENSG00000160551",6.02507182427422e-15,0.467795121888585,0.251,0.155,3.27101149339847e-11
"ENSG00000172243",6.55294773380422e-15,-3.01961161644449,0.014,0.075,3.55759532468231e-11
"ENSG00000177455",6.9235012570745e-15,-5.46071141230953,0.001,0.052,3.75876883246575e-11
"ENSG00000124120",7.2403441150527e-15,-2.23599393802684,0.027,0.095,3.93078282006211e-11
"ENSG00000184293",7.86602672069324e-15,-6.28562470575144,0,0.05,4.27046590666436e-11
"ENSG00000158270",7.87853037217121e-15,-6.40405619545196,0,0.05,4.27725413905175e-11
"ENSG00000170606",8.06758629979344e-15,-1.44947980695799,0.084,0.169,4.37989260215786e-11
"ENSG00000095970",8.39331978307312e-15,-6.59086464822797,0,0.05,4.5567333102304e-11
"ENSG00000163629",9.06463447906799e-15,1.02036721242597,0.069,0.027,4.92119005868601e-11
"ENSG00000141002",9.43621197526416e-15,-0.818897476431847,0.294,0.387,5.12291948137091e-11
"ENSG00000188505",9.64400736784769e-15,3.27959640194279,0.012,0.001,5.23573160000451e-11
"ENSG00000110046",1.14275572694356e-14,-1.76588277409987,0.058,0.135,6.20402084157661e-11
"ENSG00000260027",1.25151488039055e-14,1.93974639905816,0.029,0.006,6.7944742856403e-11
"ENSG00000169249",1.40052550234189e-14,-2.34184501130991,0.019,0.082,7.60345295221411e-11
"ENSG00000140678",1.46801517084681e-14,-3.28507275967283,0.008,0.064,7.96985436252732e-11
"ENSG00000137491",1.48333500414321e-14,-3.89532928055789,0.004,0.058,8.05302573749349e-11
"ENSG00000089597",1.58693915152355e-14,0.593874237357832,0.185,0.106,8.61549265362134e-11
"ENSG00000115523",1.68651161517896e-14,-4.34661695975462,0.007,0.062,9.15607155880659e-11
"ENSG00000175906",1.72098121119835e-14,-1.97946026111048,0.037,0.108,9.34320699559585e-11
"ENSG00000155330",1.73729539297206e-14,-2.39907708769389,0.02,0.083,9.43177668844534e-11
"ENSG00000213015",1.9250161853236e-14,0.796832279474865,0.113,0.055,1.04509128701218e-10
"ENSG00000172795",2.026904417204e-14,-1.47023811661513,0.078,0.16,1.10040640810005e-10
"ENSG00000147140",2.0593392702479e-14,0.412772501434645,0.291,0.187,1.11801528981759e-10
"ENSG00000160683",2.21696625458598e-14,-6.36628715257622,0,0.049,1.20359097961473e-10
"ENSG00000118418",2.27282676602385e-14,0.410329325506316,0.308,0.205,1.23391765127435e-10
"ENSG00000143297",2.37090119679077e-14,-4.77365072396964,0.002,0.052,1.28716225973771e-10
"ENSG00000165171",2.57055790330883e-14,1.67555803495154,0.03,0.007,1.39555588570636e-10
